.,Index,Name,Tree,Description,Tier,Tree req,Max,Cost,Effect,Value,Units,Exclusion
,323,Armor,Guardian,Hard body. Battle tested. Able-to-take-a-beating kinda Kami.,2,5,5,1,DTS,0.02,Percent,
,331,Anxiety,Guardian,aaaaAAAAaaaAaAAaAaaaaa,3,15,1,1,SYS,3,Stat,"332, 333"
,332,Die Hard,Guardian,"Survival is one thing, but another is knowing how to die effectively. ",3,15,1,1,SB,-0.075,Percent,"331, 333"
,333,Loyalty,Guardian,bark bark arf grrr awoof awooo,3,15,1,1,HIB,15,MUSU/hr,"331, 332"
,341,Flawless,Guardian,They don’t want you to know your Kami can just wake up like this.,4,20,5,1,DTR,0.05,Percent,
,342,Dedication,Guardian,"Your Kami shows up 5 minutes early to literally everything. ",4,20,5,1,HIB,5,MUSU/hr,
,343,Shielding,Guardian,Back in my day this used to cost 30 tree branches and 50 firewood.,4,20,5,1,DTS,0.02,Percent,
,351,Powerhouse,Guardian,"All that intensive physical training has built up some Violence… ",5,30,5,1,SVS,1,Stat,
,352,Hefty,Guardian,"Raw physical mass can be a form of talent, too. ",5,30,5,1,SHS,10,Stat,
,353,Fortress,Guardian,"Unbreakable. ",5,30,5,1,DTS,0.02,Percent,
,361,Neurosis,Guardian,“Not a radical loss of touch with reality.”,6,40,1,1,SYS,5,Stat,"362, 363"
,362,Undying,Guardian,"Your Kami gets every single ounce of juice from their Health points. ",6,40,1,1,SB,-0.125,Percent,"361, 363"
,363,Obsession,Guardian,Compulsive and intrusive. But hardly a disorder.,6,40,1,1,HIB,25,MUSU/hr,"361, 362"
,411,Acquisitiveness,Harvester,The children long for the mines…,1,0,5,1,SPS,1,Stat,
,412,Mogging,Harvester,"Good fashion choices can be the first step on the road to massively outsized gains. ",1,0,5,1,SHS,10,Stat,
,413,Greed,Harvester,Your Kami just want it more.,1,0,5,1,HBB,0.04,Percent,
,421,Wide Portfolio,Harvester,Negatively correlated assets have proven a great way to diversify risk in your Kamigotchi’s holdings.,2,5,5,1,SB,-0.025,Percent,
,422,Side Hustles,Harvester,"Your Kamigotchi has learned to drive taxi while harvesting, increasing their MUSU gains. ",2,5,5,1,HFB,0.06,Percent,
,423,Hedging,Harvester,Go ahead. Announce your sexuality on an immutable ledger.,2,5,5,1,DSR,0.02,Percent,
,431,Technical Analysis,Harvester,"Your Kami keeps muttering about Fibonacci retracement levels. You think it may have some form of schizophrenia, but it’s making more money this way.",3,15,1,1,SPS,3,Stat,"432, 433"
,432,Daylight Savings,Harvester,Leopold II. Hideki Tojo. George Hudson.,3,15,1,1,DTS,0.06,Percent,"431, 433"
,433,Leverage,Harvester,"You know how to maximise your own use of time and energy. ",3,15,1,1,HBB,0.12,Percent,"431, 432"
,441,Opportunist,Harvester,"Sometimes, the competition just leave themselves open. ",4,20,5,1,SVS,1,Stat,
,442,Trading Courses,Harvester,Market capitalization? Enterprise value? he bit da wa?,4,20,5,1,HFB,0.06,Percent,
,443,Index Funds,Harvester,A way to inject some Harmony into the portfolio…,4,20,5,1,SYS,1,Stat,
,451,Time in the Market,Harvester,Always wins in the end.,5,30,5,1,SB,-0.025,Percent,
,452,Looping,Harvester,You know.. because looping is umm. Healthy?,5,30,5,1,SHS,10,Stat,
,453,Stimulants,Harvester,"For men destined to define eras and change history, who will be remembered for millennia to come.",5,30,5,1,HBB,0.04,Percent,
,461,Intelligent Investor,Harvester,Benjamin Graham. Jim Simons. Roaring Kitty.,6,40,1,1,SPS,5,Stat,"462, 463"
,462,Paid Groupchat,Harvester,You know it’s good. Otherwise they wouldn’t charge you.,6,40,1,1,HFB,0.3,Percent,"461, 463"
,463,Coward,Harvester,"What can we say? Are you actually going to choose this? We’re sure your parents still love you. ",6,40,1,1,DSR,0.1,Percent,"461, 462"
