Name,Type,Items,Icons,Tiers,Weights,Drop Rates,Value,Nodes,Rollup
Stick Stone Resin,Node,"Wooden Stick (https://www.notion.so/Wooden-Stick-1980220c38848170a107f07f797ae367?pvs=21), Stone (https://www.notion.so/Stone-1980220c388481b69b72c03c74da514b?pvs=21), Resin (https://www.notion.so/Resin-1980220c388481edb59bfe42fb2e0428?pvs=21)","https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/afe600f8-2404-4be9-9cb3-8d17ae800cbb/wooden_stick_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/aad35707-85dd-4d6d-ba42-182192038a87/stone_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/f0287279-ee36-468e-8fbe-39e5a7efc3ae/resin_native.png","8,8,7","128,128,64","40%,40%,20%",,"Butterfly Forest (https://www.notion.so/Butterfly-Forest-1b90220c38848145b8a2eec65d6d98b9?pvs=21), Misty Forest Path (https://www.notion.so/Misty-Forest-Path-1b90220c3884818393c0da0838f16d60?pvs=21)","Common,Common,Uncommon"
Stick Cone Rename,Node,"Wooden Stick (https://www.notion.so/Wooden-Stick-1980220c38848170a107f07f797ae367?pvs=21), Pine Cone (https://www.notion.so/Pine-Cone-1980220c388481d497cce0dcebb74e07?pvs=21), Holy Dust (https://www.notion.so/Holy-Dust-1980220c38848170b8ecdd102cdb8e66?pvs=21)","https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/afe600f8-2404-4be9-9cb3-8d17ae800cbb/wooden_stick_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/50ba073b-97de-4590-b48b-6efa0af70a35/pine_cone_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/0ffce8b6-750d-4bc6-beaf-d4b494f502e0/holy_dust_native.png","9,7,4","256,64,8","78.05%,19.51%,2.44%",,"Forest: Insect Node (https://www.notion.so/Forest-Insect-Node-1b90220c38848191ac35e9716b6733e9?pvs=21), Musty Forest Path (https://www.notion.so/Musty-Forest-Path-1e00220c388480a99df8e58ad9927cac?pvs=21)","Common,Uncommon,Rare"
Stones & Bottle,Node,"Stone (https://www.notion.so/Stone-1980220c388481b69b72c03c74da514b?pvs=21), Plastic Bottle (https://www.notion.so/Plastic-Bottle-1980220c38848175999ec55a5c7aacde?pvs=21)","https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/aad35707-85dd-4d6d-ba42-182192038a87/stone_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/09211a16-6f2b-42e1-910a-85b7f4b0c7b2/plastic_bottle_native.png","9,7","256,64","80%,20%",,Misty Riverside (https://www.notion.so/Misty-Riverside-1b90220c388481d29df1e81f0566188b?pvs=21),"Common,Uncommon"
Stone Bottle Burger,Node,"Stone (https://www.notion.so/Stone-1980220c388481b69b72c03c74da514b?pvs=21), Plastic Bottle (https://www.notion.so/Plastic-Bottle-1980220c38848175999ec55a5c7aacde?pvs=21), Cheeseburger (https://www.notion.so/Cheeseburger-1980220c38848170aae3c96fe154c10a?pvs=21)","https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/aad35707-85dd-4d6d-ba42-182192038a87/stone_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/09211a16-6f2b-42e1-910a-85b7f4b0c7b2/plastic_bottle_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/34c75407-cf8c-41a8-81b2-fe2697d6f4a7/cheeseburger_native.png","9,7,6","256,64,32","72.73%,18.18%,9.09%",,Trash-Strewn Graves (https://www.notion.so/Trash-Strewn-Graves-1b90220c388481f28f16da5cd921a3d7?pvs=21),"Common,Uncommon,Uncommon"
Stone Scrap Burger,Node,"Stone (https://www.notion.so/Stone-1980220c388481b69b72c03c74da514b?pvs=21), Scrap Metal (https://www.notion.so/Scrap-Metal-1980220c388481208709f51dc96eb2eb?pvs=21), Cheeseburger (https://www.notion.so/Cheeseburger-1980220c38848170aae3c96fe154c10a?pvs=21)","https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/aad35707-85dd-4d6d-ba42-182192038a87/stone_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/94b1353d-5a2c-45cc-9fd4-567b8034baf3/scrap_metal_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/34c75407-cf8c-41a8-81b2-fe2697d6f4a7/cheeseburger_native.png","9,7,6","256,64,32","72.73%,18.18%,9.09%",,"Scrapyard Entrance (https://www.notion.so/Scrapyard-Entrance-1b90220c388481f794ccf80efe2879bb?pvs=21), Scrapyard Exit (https://www.notion.so/Scrapyard-Exit-1b90220c38848197a883cc763deae1a8?pvs=21), Scrap Paths (https://www.notion.so/Scrap-Paths-1b90220c388481cca09ccc2785d4a0f8?pvs=21), Mouth of Scrap (https://www.notion.so/Mouth-of-Scrap-2790220c38848051914fced7935e1f07?pvs=21)","Common,Common,Uncommon"
Stone Only,Node,Stone (https://www.notion.so/Stone-1980220c388481b69b72c03c74da514b?pvs=21),https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/aad35707-85dd-4d6d-ba42-182192038a87/stone_native.png,9,256,100%,,Labs Entrance (https://www.notion.so/Labs-Entrance-1b90220c38848122bc62ce091bfa6415?pvs=21),Common
Bottle Scrap Burger,Node,"Plastic Bottle (https://www.notion.so/Plastic-Bottle-1980220c38848175999ec55a5c7aacde?pvs=21), Scrap Metal (https://www.notion.so/Scrap-Metal-1980220c388481208709f51dc96eb2eb?pvs=21), Cheeseburger (https://www.notion.so/Cheeseburger-1980220c38848170aae3c96fe154c10a?pvs=21)","https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/09211a16-6f2b-42e1-910a-85b7f4b0c7b2/plastic_bottle_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/94b1353d-5a2c-45cc-9fd4-567b8034baf3/scrap_metal_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/34c75407-cf8c-41a8-81b2-fe2697d6f4a7/cheeseburger_native.png","9,9,7","256,256,64","44.44%,44.44%,11.11%",,,"Uncommon,Common,Uncommon"
Bottle Scrap Jar,Node,"Plastic Bottle (https://www.notion.so/Plastic-Bottle-1980220c38848175999ec55a5c7aacde?pvs=21), Scrap Metal (https://www.notion.so/Scrap-Metal-1980220c388481208709f51dc96eb2eb?pvs=21), Glass Jar (https://www.notion.so/Glass-Jar-1980220c38848175b043d19c98f23f71?pvs=21)","https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/09211a16-6f2b-42e1-910a-85b7f4b0c7b2/plastic_bottle_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/94b1353d-5a2c-45cc-9fd4-567b8034baf3/scrap_metal_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/914fd1a2-1244-4f92-ac0f-72f27d317562/glass_jar_native.png","9,9,6","256,256,32","47.06%,47.06%,5.88%",,Airplane Crash (https://www.notion.so/Airplane-Crash-1b90220c388481829f53dc25de19d74d?pvs=21),"Uncommon,Common,Rare"
Scrap Burger Rename Driver,Node,"Scrap Metal (https://www.notion.so/Scrap-Metal-1980220c388481208709f51dc96eb2eb?pvs=21), Cheeseburger (https://www.notion.so/Cheeseburger-1980220c38848170aae3c96fe154c10a?pvs=21), Holy Dust (https://www.notion.so/Holy-Dust-1980220c38848170b8ecdd102cdb8e66?pvs=21), Screwdriver (https://www.notion.so/Screwdriver-1980220c388481f9ae9dcc9d0e000386?pvs=21)","https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/94b1353d-5a2c-45cc-9fd4-567b8034baf3/scrap_metal_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/34c75407-cf8c-41a8-81b2-fe2697d6f4a7/cheeseburger_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/0ffce8b6-750d-4bc6-beaf-d4b494f502e0/holy_dust_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/1ba78ad6-2fab-4125-b05e-7982faa27d35/screwdriver_native.png","9,8,6,2","256,128,32,2","61.24%,30.62%,7.66%,0.48%",,Scrap Confluence (https://www.notion.so/Scrap-Confluence-1b90220c388481e0ba91fe5e2069ef53?pvs=21),"Common,Uncommon,Rare,Epic"
Scrap Burger,Node,"Scrap Metal (https://www.notion.so/Scrap-Metal-1980220c388481208709f51dc96eb2eb?pvs=21), Cheeseburger (https://www.notion.so/Cheeseburger-1980220c38848170aae3c96fe154c10a?pvs=21)","https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/94b1353d-5a2c-45cc-9fd4-567b8034baf3/scrap_metal_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/34c75407-cf8c-41a8-81b2-fe2697d6f4a7/cheeseburger_native.png","9,7","256,64","80%,20%",,Deeper Into Scrap (https://www.notion.so/Deeper-Into-Scrap-1b90220c388481c68f48c3e6bf2b0085?pvs=21),"Common,Uncommon"
Stone Resin Mint,Node,"Stone (https://www.notion.so/Stone-1980220c388481b69b72c03c74da514b?pvs=21), Resin (https://www.notion.so/Resin-1980220c388481edb59bfe42fb2e0428?pvs=21), Mint (https://www.notion.so/Mint-1980220c38848146832ce62e852b1ce4?pvs=21)","https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/aad35707-85dd-4d6d-ba42-182192038a87/stone_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/f0287279-ee36-468e-8fbe-39e5a7efc3ae/resin_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/d2fb3c5a-b076-4672-97e6-9770c108bff3/mint_native.png","9, 8, 4","256,128,8","65.31%,32.65%,2.04%",,Centipedes (https://www.notion.so/Centipedes-1dc0220c388480e18e66ce5973171d3c?pvs=21),"Common,Uncommon,Epic"
Scrap Daffodil Driver,Node,"Scrap Metal (https://www.notion.so/Scrap-Metal-1980220c388481208709f51dc96eb2eb?pvs=21), Daffodil (https://www.notion.so/Daffodil-1980220c3884818a88dbdb2cebbfbcd2?pvs=21), Screwdriver (https://www.notion.so/Screwdriver-1980220c388481f9ae9dcc9d0e000386?pvs=21)","https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/94b1353d-5a2c-45cc-9fd4-567b8034baf3/scrap_metal_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/76fdec0b-b723-4d68-95c1-6dfb14ea6e47/daffodil_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/1ba78ad6-2fab-4125-b05e-7982faa27d35/screwdriver_native.png","9,7,2","256,64,2","79.5%,19.88%,0.62%",,Scrap Trees (https://www.notion.so/Scrap-Trees-1dc0220c388480b8a28aff03c336933b?pvs=21),"Common,Uncommon,Epic"
